,N,p_left,p_right
1644302261800.0,17,0.7058823529411765,0.29411764705882354
1644302467200.0,105,0.6952380952380952,0.3047619047619048
1644303600000.0,1,1.0,0.0
1644303885000.0,2,1.0,0.0
1644304225200.0,35,0.6857142857142857,0.3142857142857143
1644304965200.0,3,1.0,0.0
1644305065200.0,5,1.0,0.0
1644305165200.0,8,0.75,0.25
1644305265200.0,12,0.5833333333333334,0.4166666666666667
1644306244500.0,61,0.6885245901639344,0.3114754098360656
1644306748200.0,10,0.5,0.5
1644306944500.0,97,0.7422680412371134,0.25773195876288657
1644307200000.0,15,0.8666666666666667,0.13333333333333333
1644307809800.0,15,0.4666666666666667,0.5333333333333333
1644308076500.0,46,0.45652173913043476,0.5434782608695652
1644308346900.0,17,0.6470588235294118,0.35294117647058826
1644308446900.0,18,0.7777777777777778,0.2222222222222222
1644308847200.0,7,0.5714285714285714,0.42857142857142855
1644308947200.0,21,0.8571428571428571,0.14285714285714285
1644309139800.0,99,0.6262626262626263,0.37373737373737376
1644309622400.0,19,0.8947368421052632,0.10526315789473684
1644309722400.0,22,0.9090909090909091,0.09090909090909091
1644310231700.0,3,0.6666666666666666,0.3333333333333333
1644310331700.0,13,0.8461538461538461,0.15384615384615385
1644310486200.0,5,0.4,0.6
1644361200000.0,2,0.5,0.5
1644361300000.0,1,0.0,1.0
1644361400000.0,3,0.3333333333333333,0.6666666666666666
1644361500000.0,2,0.5,0.5
1644361600000.0,11,0.6363636363636364,0.36363636363636365
1644361927600.0,3,0.3333333333333333,0.6666666666666666
1644362094800.0,5,1.0,0.0
1644364682900.0,3,0.3333333333333333,0.6666666666666666
1644364800000.0,2,0.5,0.5
1644378979700.0,1,0.0,1.0
1644379290800.0,1,1.0,0.0
1644379392500.0,1,1.0,0.0
1644380167000.0,1,1.0,0.0
1644380395700.0,1,0.0,1.0
1644382075500.0,1,1.0,0.0
1644382175500.0,2,1.0,0.0
1644382520200.0,1,1.0,0.0
1644382912300.0,1,1.0,0.0
1644383512500.0,3,1.0,0.0
1644384084000.0,1,1.0,0.0
1644384937200.0,1,0.0,1.0
1644385114300.0,3,0.6666666666666666,0.3333333333333333
1644385214300.0,3,1.0,0.0
1644385314300.0,3,1.0,0.0
1644385765400.0,2,1.0,0.0
1644385914400.0,1,1.0,0.0
1644386014400.0,13,0.6153846153846154,0.38461538461538464
1644386114400.0,26,0.6923076923076923,0.3076923076923077
1644386214400.0,30,0.5666666666666667,0.43333333333333335
1644386400000.0,11,0.8181818181818182,0.18181818181818182
1644386518600.0,7,0.7142857142857143,0.2857142857142857
1644386838300.0,7,1.0,0.0
1644387058200.0,7,0.5714285714285714,0.42857142857142855
1644387158200.0,8,0.75,0.25
1644387426300.0,5,1.0,0.0
1644387775000.0,1,1.0,0.0
1644387915100.0,5,1.0,0.0
1644388015100.0,9,0.8888888888888888,0.1111111111111111
1644388219600.0,46,0.717391304347826,0.2826086956521739
1644388563900.0,60,0.48333333333333334,0.5166666666666667
1644389123100.0,35,0.7714285714285715,0.22857142857142856
1644389223100.0,46,0.8913043478260869,0.10869565217391304
1644389630000.0,5,0.6,0.4
1644389730000.0,10,0.2,0.8
1644390000000.0,3,0.3333333333333333,0.6666666666666666
